Match Number,Round Number,Date,Location,Home Team,Away Team,Result
115,12,06/11/2021 16:00,Antalya Stadium,Antalyaspor,Altay,1 - 0
113,12,06/11/2021 19:00,Vodafone Park,Besiktas,Trabzonspor,1 - 2
119,12,07/11/2021 13:30,Gürsel Aksel Stadium,Göztepe,Konyaspor,0 - 2
112,12,07/11/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Galatasaray,1 - 1
117,12,07/11/2021 16:00,New Adana Stadium,Adana Demirspor,Atakas Hatayspor,1 - 0
118,12,07/11/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Kayserispor,2 - 2
121,13,20/11/2021 13:30,New Hatay Stadium,Atakas Hatayspor,Antalyaspor,3 - 1
122,13,20/11/2021 16:00,Çotanak Stadium,Giresunspor,Yeni Malatyaspor,1 - 0
129,13,20/11/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Sivasspor,2 - 1
126,13,20/11/2021 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Besiktas,2 - 0
123,13,21/11/2021 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Fatih Karagümrük,1 - 3
128,13,21/11/2021 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Çaykur Rizespor,3 - 0
130,13,21/11/2021 16:00,Bornova Stadium,Altay,Adana Demirspor,1 - 3
124,13,21/11/2021 19:00,Türk Telekom Stadium,Galatasaray,Fenerbahçe,1 - 2
125,13,22/11/2021 20:00,Senol Günes Stadium,Trabzonspor,Gaziantep Futbol Kulübü,3 - 0
127,13,22/11/2021 20:00,Kadir Has Stadium,Kayserispor,Göztepe,1 - 1
137,14,26/11/2021 20:00,New Adana Stadium,Adana Demirspor,Kasimpasa,0 - 0
138,14,26/11/2021 20:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Altay,0 - 0
135,14,27/11/2021 13:30,Antalya Stadium,Antalyaspor,Alanyaspor,3 - 0
140,14,27/11/2021 16:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Kayserispor,1 - 0
133,14,27/11/2021 19:00,Vodafone Park,Besiktas,Giresunspor,0 - 4
131,14,28/11/2021 13:30,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Konyaspor,3 - 2
132,14,28/11/2021 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Trabzonspor,0 - 2
136,14,28/11/2021 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Atakas Hatayspor,4 - 0
134,14,28/11/2021 19:00,New Malatya Stadium,Yeni Malatyaspor,Galatasaray,0 - 0
139,14,29/11/2021 20:00,Gürsel Aksel Stadium,Göztepe,Fenerbahçe,1 - 1
143,15,03/12/2021 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Besiktas,1 - 1
146,15,04/12/2021 13:30,Bahçesehir Okullari Stadium,Alanyaspor,Sivasspor,0 - 1
145,15,04/12/2021 16:00,Senol Günes Stadium,Trabzonspor,Adana Demirspor,2 - 0
144,15,04/12/2021 19:00,Türk Telekom Stadium,Galatasaray,Altay,2 - 2
147,15,05/12/2021 13:30,Kadir Has Stadium,Kayserispor,Antalyaspor,2 - 0
141,15,05/12/2021 16:00,New Hatay Stadium,Atakas Hatayspor,Istanbul Basaksehir,0 - 3
142,15,05/12/2021 16:00,Çotanak Stadium,Giresunspor,Fatih Karagümrük,3 - 1
149,15,05/12/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Çaykur Rizespor,4 - 0
148,15,06/12/2021 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Yeni Malatyaspor,0 - 0
150,15,06/12/2021 20:00,Gürsel Aksel Stadium,Göztepe,Gaziantep Futbol Kulübü,2 - 1
159,16,10/12/2021 20:00,Bornova Stadium,Altay,Atakas Hatayspor,1 - 2
152,16,11/12/2021 13:30,Atatürk Olympic Stadium,Fatih Karagümrük,Konyaspor,1 - 4
158,16,11/12/2021 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kasimpasa,2 - 1
160,16,11/12/2021 16:00,Yeni Rize Sehir Stadi,Çaykur Rizespor,Göztepe,3 - 1
155,16,11/12/2021 19:00,Antalya Stadium,Antalyaspor,Trabzonspor,2 - 1
157,16,12/12/2021 13:30,New Adana Stadium,Adana Demirspor,Giresunspor,1 - 0
154,16,12/12/2021 16:00,New Malatya Stadium,Yeni Malatyaspor,Alanyaspor,2 - 6
153,16,12/12/2021 19:00,Vodafone Park,Besiktas,Kayserispor,4 - 2
156,16,13/12/2021 18:00,New Sivas 4 Eylül Stadium,Sivasspor,Galatasaray,1 - 0
151,16,13/12/2021 20:30,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Fenerbahçe,3 - 2
161,17,17/12/2021 20:00,Çotanak Stadium,Giresunspor,Altay,3 - 1
162,17,18/12/2021 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Sivasspor,1 - 3
164,17,18/12/2021 16:00,Senol Günes Stadium,Trabzonspor,Atakas Hatayspor,2 - 0
167,17,18/12/2021 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Antalyaspor,1 - 0
163,17,18/12/2021 19:00,Türk Telekom Stadium,Galatasaray,Istanbul Basaksehir,1 - 1
165,17,18/12/2021 19:00,Bahçesehir Okullari Stadium,Alanyaspor,Adana Demirspor,1 - 3
170,17,19/12/2021 13:30,Yeni Rize Sehir Stadi,Çaykur Rizespor,Yeni Malatyaspor,1 - 0
166,17,19/12/2021 16:00,Kadir Has Stadium,Kayserispor,Gaziantep Futbol Kulübü,0 - 0
169,17,19/12/2021 16:00,Gürsel Aksel Stadium,Göztepe,Fatih Karagümrük,0 - 1
168,17,19/12/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Besiktas,2 - 2
176,18,21/12/2021 17:00,Antalya Stadium,Antalyaspor,Kasimpasa,1 - 1
179,18,21/12/2021 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Giresunspor,3 - 1
178,18,21/12/2021 20:00,New Adana Stadium,Adana Demirspor,Galatasaray,2 - 0
180,18,21/12/2021 20:00,Bornova Stadium,Altay,Trabzonspor,1 - 2
171,18,22/12/2021 17:00,New Hatay Stadium,Atakas Hatayspor,Konyaspor,1 - 3
177,18,22/12/2021 17:00,New Sivas 4 Eylül Stadium,Sivasspor,Çaykur Rizespor,1 - 1
172,18,22/12/2021 20:00,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Alanyaspor,2 - 1
173,18,22/12/2021 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Fenerbahçe,1 - 1
175,18,23/12/2021 17:00,New Malatya Stadium,Yeni Malatyaspor,Kayserispor,2 - 2
174,18,23/12/2021 20:00,Vodafone Park,Besiktas,Göztepe,2 - 1
182,19,25/12/2021 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Altay,2 - 0
181,19,25/12/2021 16:00,Çotanak Stadium,Giresunspor,Atakas Hatayspor,0 - 1
183,19,25/12/2021 16:00,Türk Telekom Stadium,Galatasaray,Antalyaspor,2 - 0
184,19,25/12/2021 19:00,Senol Günes Stadium,Trabzonspor,Istanbul Basaksehir,0 - 0
190,19,26/12/2021 13:30,Yeni Rize Sehir Stadi,Çaykur Rizespor,Gaziantep Futbol Kulübü,0 - 1
185,19,26/12/2021 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Fatih Karagümrük,1 - 1
189,19,26/12/2021 16:00,Gürsel Aksel Stadium,Göztepe,Adana Demirspor,1 - 1
188,19,26/12/2021 19:00,Sükrü Saracoglu Stadium,Fenerbahçe,Yeni Malatyaspor,2 - 0
186,19,27/12/2021 20:00,Kadir Has Stadium,Kayserispor,Sivasspor,3 - 0
187,19,27/12/2021 20:00,Konya Metropolitan Municipality Stadium,Konyaspor,Besiktas,1 - 0
194,20,07/01/2022 20:00,Senol Günes Stadium,Trabzonspor,Yeni Malatyaspor,1 - 0
192,20,08/01/2022 13:30,New Gaziantep Stadium,Gaziantep Futbol Kulübü,Fatih Karagümrük,3 - 1
198,20,08/01/2022 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Istanbul Basaksehir,1 - 1
