Match Number,Round Number,Date,Location,Home Team,Away Team,Result
140,16,15/12/2021 17:30,Borussia-Park,Borussia Mönchengladbach,Eintracht Frankfurt,2 - 3
137,16,15/12/2021 19:30,WWK Arena,FC Augsburg,RB Leipzig,1 - 1
141,16,15/12/2021 19:30,Stadion An der Alten Försterei,Union Berlin,SC Freiburg,0 - 0
142,16,15/12/2021 19:30,BayArena,Bayer 04 Leverkusen,Hoffenheim,2 - 2
144,16,15/12/2021 19:30,Signal Iduna Park,Borussia Dortmund,SpVgg Greuther Fürth,3 - 0
153,17,17/12/2021 19:30,Allianz Arena,FC Bayern,VfL Wolfsburg,4 - 0
145,17,18/12/2021 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,FC Augsburg,0 - 0
146,17,18/12/2021 14:30,Vonovia Ruhrstadion,VfL Bochum,Union Berlin,0 - 1
149,17,18/12/2021 14:30,PreZero Arena,Hoffenheim,Borussia Mönchengladbach,1 - 1
151,17,18/12/2021 14:30,Deutsche Bank Park,Eintracht Frankfurt,Mainz 05,1 - 0
152,17,18/12/2021 14:30,Red Bull Arena,RB Leipzig,Arminia Bielefeld,0 - 2
148,17,18/12/2021 17:30,Olympiastadion,Hertha BSC,Borussia Dortmund,3 - 2
150,17,19/12/2021 14:30,SC-Stadion,SC Freiburg,Bayer 04 Leverkusen,2 - 1
147,17,19/12/2021 16:30,RheinEnergieStadion,1. FC Köln,VfB Stuttgart,1 - 0
162,18,07/01/2022 19:30,Allianz Arena,FC Bayern,Borussia Mönchengladbach,1 - 2
154,18,08/01/2022 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,VfB Stuttgart,0 - 0
157,18,08/01/2022 14:30,PreZero Arena,Hoffenheim,FC Augsburg,3 - 1
158,18,08/01/2022 14:30,SC-Stadion,SC Freiburg,Arminia Bielefeld,2 - 2
159,18,08/01/2022 14:30,BayArena,Bayer 04 Leverkusen,Union Berlin,2 - 2
161,18,08/01/2022 14:30,Red Bull Arena,RB Leipzig,Mainz 05,4 - 1
160,18,08/01/2022 17:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,2 - 3
156,18,09/01/2022 14:30,Olympiastadion,Hertha BSC,1. FC Köln,1 - 3
155,18,09/01/2022 16:30,Vonovia Ruhrstadion,VfL Bochum,VfL Wolfsburg,1 - 0
171,19,14/01/2022 19:30,Signal Iduna Park,Borussia Dortmund,SC Freiburg,5 - 1
